input,response_category,response
check hostel dues asap,fees_student,You currently have a pending balance for hostel. Please pay by 2024-05-08 to avoid late fines.
check exam dues now,fees_student,You currently have a pending balance for exam. Please pay by 2023-11-16 to avoid late fines.
please check misc dues,fees_student,You currently have a pending balance for misc. Please pay by 2023-12-10 to avoid late fines.
check hostel dues,fees_student,You currently have a pending balance for hostel. Please pay by 2024-01-19 to avoid late fines.
how much do i need to pay for tuition now,fees_student,Your payable amount for tuition is ₹5000. You can pay online (UPI/Card/NetBanking) or at the accounts office.
i want to how much do i need to pay for placement,fees_student,Your payable amount for placement is ₹12500. You can pay online (UPI/Card/NetBanking) or at the accounts office.
please how much do i need to pay for placement,fees_student,Your payable amount for placement is ₹30000. You can pay online (UPI/Card/NetBanking) or at the accounts office.
how much do i need to pay for transport asap,fees_student,Your payable amount for transport is ₹12500. You can pay online (UPI/Card/NetBanking) or at the accounts office.
i want to how much do i need to pay for sports,fees_student,Your payable amount for sports is ₹20000. You can pay online (UPI/Card/NetBanking) or at the accounts office.
how much do i need to pay for transport for me,fees_student,Your payable amount for transport is ₹12500. You can pay online (UPI/Card/NetBanking) or at the accounts office.
how much do i need to pay for misc for me,fees_student,Your payable amount for misc is ₹15000. You can pay online (UPI/Card/NetBanking) or at the accounts office.
how much do i need to pay for sports now,fees_student,Your payable amount for sports is ₹1500. You can pay online (UPI/Card/NetBanking) or at the accounts office.
how much do i need to pay for hostel now,fees_student,Your payable amount for hostel is ₹2500. You can pay online (UPI/Card/NetBanking) or at the accounts office.
please how much do i need to pay for tuition,fees_student,Your payable amount for tuition is ₹30000. You can pay online (UPI/Card/NetBanking) or at the accounts office.
how much do i need to pay for library now,fees_student,Your payable amount for library is ₹30000. You can pay online (UPI/Card/NetBanking) or at the accounts office.
can you how much do i need to pay for medical,fees_student,Your payable amount for medical is ₹5000. You can pay online (UPI/Card/NetBanking) or at the accounts office.
please how much do i need to pay for library,fees_student,Your payable amount for library is ₹20000. You can pay online (UPI/Card/NetBanking) or at the accounts office.
can you how much do i need to pay for internet,fees_student,Your payable amount for internet is ₹7500. You can pay online (UPI/Card/NetBanking) or at the accounts office.
how much do i need to pay for exam for me,fees_student,Your payable amount for exam is ₹15000. You can pay online (UPI/Card/NetBanking) or at the accounts office.
can you how much do i need to pay for exam,fees_student,Your payable amount for exam is ₹10000. You can pay online (UPI/Card/NetBanking) or at the accounts office.
how much do i need to pay for lab for me,fees_student,Your payable amount for lab is ₹30000. You can pay online (UPI/Card/NetBanking) or at the accounts office.
can you when is my fee due,fees_student,"Your next due date is 2023-03-26. If you miss it, a daily late fine may apply after any grace period."
when is my fee due asap,fees_student,"Your next due date is 2022-07-28. If you miss it, a daily late fine may apply after any grace period."
when is my fee due for me,fees_student,"Your next due date is 2023-01-22. If you miss it, a daily late fine may apply after any grace period."
can you when is my fee due,fees_student,"Your next due date is 2025-11-27. If you miss it, a daily late fine may apply after any grace period."
when is my fee due now,fees_student,"Your next due date is 2022-10-14. If you miss it, a daily late fine may apply after any grace period."
when is my fee due,fees_student,"Your next due date is 2024-01-23. If you miss it, a daily late fine may apply after any grace period."
i want to when is my fee due,fees_student,"Your next due date is 2024-10-11. If you miss it, a daily late fine may apply after any grace period."
when is my fee due now,fees_student,"Your next due date is 2024-09-05. If you miss it, a daily late fine may apply after any grace period."
when is my fee due now,fees_student,"Your next due date is 2024-05-07. If you miss it, a daily late fine may apply after any grace period."
when is my fee due asap,fees_student,"Your next due date is 2023-11-03. If you miss it, a daily late fine may apply after any grace period."
i want to when is my fee due,fees_student,"Your next due date is 2023-01-02. If you miss it, a daily late fine may apply after any grace period."
when is my fee due now,fees_student,"Your next due date is 2023-03-21. If you miss it, a daily late fine may apply after any grace period."
when is my fee due asap,fees_student,"Your next due date is 2022-08-05. If you miss it, a daily late fine may apply after any grace period."
when is my fee due asap,fees_student,"Your next due date is 2026-07-27. If you miss it, a daily late fine may apply after any grace period."
can you when is my fee due,fees_student,"Your next due date is 2024-09-16. If you miss it, a daily late fine may apply after any grace period."
i want to when is my fee due,fees_student,"Your next due date is 2024-09-03. If you miss it, a daily late fine may apply after any grace period."
i want to when is my fee due,fees_student,"Your next due date is 2024-09-15. If you miss it, a daily late fine may apply after any grace period."
please when is my fee due,fees_student,"Your next due date is 2022-06-10. If you miss it, a daily late fine may apply after any grace period."
is there a fine if i pay late now,fees_student,Yes. A late fine is applied after the due date based on the college fine policy. Check the 'Fine Policy' section for the current rate.
is there a fine if i pay late,fees_student,Yes. A late fine is applied after the due date based on the college fine policy. Check the 'Fine Policy' section for the current rate.
is there a fine if i pay late asap,fees_student,Yes. A late fine is applied after the due date based on the college fine policy. Check the 'Fine Policy' section for the current rate.
please is there a fine if i pay late,fees_student,Yes. A late fine is applied after the due date based on the college fine policy. Check the 'Fine Policy' section for the current rate.
is there a fine if i pay late for me,fees_student,Yes. A late fine is applied after the due date based on the college fine policy. Check the 'Fine Policy' section for the current rate.
can you is there a fine if i pay late,fees_student,Yes. A late fine is applied after the due date based on the college fine policy. Check the 'Fine Policy' section for the current rate.
i want to is there a fine if i pay late,fees_student,Yes. A late fine is applied after the due date based on the college fine policy. Check the 'Fine Policy' section for the current rate.
show my pending amount now,fees_student,"Your pending amount across categories is visible in your Fees dashboard. If you want, I can break it down category-wise."
show my pending amount for me,fees_student,"Your pending amount across categories is visible in your Fees dashboard. If you want, I can break it down category-wise."
can you show my pending amount,fees_student,"Your pending amount across categories is visible in your Fees dashboard. If you want, I can break it down category-wise."
i want to show my pending amount,fees_student,"Your pending amount across categories is visible in your Fees dashboard. If you want, I can break it down category-wise."
show my pending amount,fees_student,"Your pending amount across categories is visible in your Fees dashboard. If you want, I can break it down category-wise."
please show my pending amount,fees_student,"Your pending amount across categories is visible in your Fees dashboard. If you want, I can break it down category-wise."
show my pending amount asap,fees_student,"Your pending amount across categories is visible in your Fees dashboard. If you want, I can break it down category-wise."
please download receipt,fees_student,Open Fees → Receipts/Statements and download your receipt for the selected term.
i want to download statement,fees_student,Open Fees → Receipts/Statements and download your statement for the selected term.
download challan for me,fees_student,Open Fees → Receipts/Statements and download your challan for the selected term.
download no-due certificate,fees_student,Open Fees → Receipts/Statements and download your no-due certificate for the selected term.
can you download challan,fees_student,Open Fees → Receipts/Statements and download your challan for the selected term.
download invoice copy asap,fees_student,Open Fees → Receipts/Statements and download your invoice copy for the selected term.
can you download no-due certificate,fees_student,Open Fees → Receipts/Statements and download your no-due certificate for the selected term.
can you download invoice copy,fees_student,Open Fees → Receipts/Statements and download your invoice copy for the selected term.
download invoice copy for me,fees_student,Open Fees → Receipts/Statements and download your invoice copy for the selected term.
download receipt for me,fees_student,Open Fees → Receipts/Statements and download your receipt for the selected term.
download challan asap,fees_student,Open Fees → Receipts/Statements and download your challan for the selected term.
download no-due certificate asap,fees_student,Open Fees → Receipts/Statements and download your no-due certificate for the selected term.
download invoice copy now,fees_student,Open Fees → Receipts/Statements and download your invoice copy for the selected term.
download receipt,fees_student,Open Fees → Receipts/Statements and download your receipt for the selected term.
i want to download invoice copy,fees_student,Open Fees → Receipts/Statements and download your invoice copy for the selected term.
i want to payment failed what to do,fees_student,"If a payment fails, wait 10–15 minutes, then check Payment History. If the amount is debited but not updated, raise a payment issue with the gateway reference."
please payment failed what to do,fees_student,"If a payment fails, wait 10–15 minutes, then check Payment History. If the amount is debited but not updated, raise a payment issue with the gateway reference."
payment failed what to do asap,fees_student,"If a payment fails, wait 10–15 minutes, then check Payment History. If the amount is debited but not updated, raise a payment issue with the gateway reference."
payment failed what to do,fees_student,"If a payment fails, wait 10–15 minutes, then check Payment History. If the amount is debited but not updated, raise a payment issue with the gateway reference."
can you payment failed what to do,fees_student,"If a payment fails, wait 10–15 minutes, then check Payment History. If the amount is debited but not updated, raise a payment issue with the gateway reference."
payment failed what to do now,fees_student,"If a payment fails, wait 10–15 minutes, then check Payment History. If the amount is debited but not updated, raise a payment issue with the gateway reference."
payment failed what to do for me,fees_student,"If a payment fails, wait 10–15 minutes, then check Payment History. If the amount is debited but not updated, raise a payment issue with the gateway reference."
please how to pay using CASH,fees_student,"To pay using CASH, open Fees → Pay Now, select CASH, confirm amount, and complete authorization. Save the transaction reference for tracking."
i want to how to pay using NETBANKING,fees_student,"To pay using NETBANKING, open Fees → Pay Now, select NETBANKING, confirm amount, and complete authorization. Save the transaction reference for tracking."
how to pay using CARD,fees_student,"To pay using CARD, open Fees → Pay Now, select CARD, confirm amount, and complete authorization. Save the transaction reference for tracking."
i want to how to pay using OFFLINE,fees_student,"To pay using OFFLINE, open Fees → Pay Now, select OFFLINE, confirm amount, and complete authorization. Save the transaction reference for tracking."
can you how to pay using UPI,fees_student,"To pay using UPI, open Fees → Pay Now, select UPI, confirm amount, and complete authorization. Save the transaction reference for tracking."
please how to pay using OFFLINE,fees_student,"To pay using OFFLINE, open Fees → Pay Now, select OFFLINE, confirm amount, and complete authorization. Save the transaction reference for tracking."
how to pay using CASH,fees_student,"To pay using CASH, open Fees → Pay Now, select CASH, confirm amount, and complete authorization. Save the transaction reference for tracking."
can you how to pay using NETBANKING,fees_student,"To pay using NETBANKING, open Fees → Pay Now, select NETBANKING, confirm amount, and complete authorization. Save the transaction reference for tracking."
how to pay using UPI for me,fees_student,"To pay using UPI, open Fees → Pay Now, select UPI, confirm amount, and complete authorization. Save the transaction reference for tracking."
how to pay using NETBANKING for me,fees_student,"To pay using NETBANKING, open Fees → Pay Now, select NETBANKING, confirm amount, and complete authorization. Save the transaction reference for tracking."
how to pay using OFFLINE,fees_student,"To pay using OFFLINE, open Fees → Pay Now, select OFFLINE, confirm amount, and complete authorization. Save the transaction reference for tracking."
how to pay using OFFLINE asap,fees_student,"To pay using OFFLINE, open Fees → Pay Now, select OFFLINE, confirm amount, and complete authorization. Save the transaction reference for tracking."
how to pay using OFFLINE for me,fees_student,"To pay using OFFLINE, open Fees → Pay Now, select OFFLINE, confirm amount, and complete authorization. Save the transaction reference for tracking."
can you how to pay using CARD,fees_student,"To pay using CARD, open Fees → Pay Now, select CARD, confirm amount, and complete authorization. Save the transaction reference for tracking."
how to pay using OFFLINE now,fees_student,"To pay using OFFLINE, open Fees → Pay Now, select OFFLINE, confirm amount, and complete authorization. Save the transaction reference for tracking."
can you how to pay using OFFLINE,fees_student,"To pay using OFFLINE, open Fees → Pay Now, select OFFLINE, confirm amount, and complete authorization. Save the transaction reference for tracking."
how to pay using NETBANKING,fees_student,"To pay using NETBANKING, open Fees → Pay Now, select NETBANKING, confirm amount, and complete authorization. Save the transaction reference for tracking."
please how to pay using NETBANKING,fees_student,"To pay using NETBANKING, open Fees → Pay Now, select NETBANKING, confirm amount, and complete authorization. Save the transaction reference for tracking."
can i pay in installments asap,fees_student,Installments may be available depending on your program and semester. Typical plans are 60/40 or 50/50 with specific due dates.
i want to can i pay in installments,fees_student,Installments may be available depending on your program and semester. Typical plans are 60/40 or 50/50 with specific due dates.
please can i pay in installments,fees_student,Installments may be available depending on your program and semester. Typical plans are 60/40 or 50/50 with specific due dates.
can you can i pay in installments,fees_student,Installments may be available depending on your program and semester. Typical plans are 60/40 or 50/50 with specific due dates.
can i pay in installments for me,fees_student,Installments may be available depending on your program and semester. Typical plans are 60/40 or 50/50 with specific due dates.
can i pay in installments now,fees_student,Installments may be available depending on your program and semester. Typical plans are 60/40 or 50/50 with specific due dates.
can i pay in installments,fees_student,Installments may be available depending on your program and semester. Typical plans are 60/40 or 50/50 with specific due dates.
i want to i need a fee concession,fees_student,Fee concessions (if available) are handled via scholarship/financial-aid rules. Submit the required documents in the Scholarships section.
i need a fee concession for me,fees_student,Fee concessions (if available) are handled via scholarship/financial-aid rules. Submit the required documents in the Scholarships section.
please i need a fee concession,fees_student,Fee concessions (if available) are handled via scholarship/financial-aid rules. Submit the required documents in the Scholarships section.
i need a fee concession asap,fees_student,Fee concessions (if available) are handled via scholarship/financial-aid rules. Submit the required documents in the Scholarships section.
can you i need a fee concession,fees_student,Fee concessions (if available) are handled via scholarship/financial-aid rules. Submit the required documents in the Scholarships section.
i need a fee concession now,fees_student,Fee concessions (if available) are handled via scholarship/financial-aid rules. Submit the required documents in the Scholarships section.
i want to what is my fee structure for B.Tech ECE,fees_student,"Your fee structure depends on B.Tech ECE, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
can you what is my fee structure for B.Sc CS,fees_student,"Your fee structure depends on B.Sc CS, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
what is my fee structure for MBA,fees_student,"Your fee structure depends on MBA, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
please what is my fee structure for MCA,fees_student,"Your fee structure depends on MCA, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
what is my fee structure for B.Tech CSE now,fees_student,"Your fee structure depends on B.Tech CSE, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
what is my fee structure for MCA,fees_student,"Your fee structure depends on MCA, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
what is my fee structure for B.Tech IT now,fees_student,"Your fee structure depends on B.Tech IT, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
can you what is my fee structure for B.Com,fees_student,"Your fee structure depends on B.Com, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
i want to what is my fee structure for BBA,fees_student,"Your fee structure depends on BBA, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
what is my fee structure for M.Tech asap,fees_student,"Your fee structure depends on M.Tech, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
i want to what is my fee structure for B.Tech CSE,fees_student,"Your fee structure depends on B.Tech CSE, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
can you what is my fee structure for B.Tech CSE,fees_student,"Your fee structure depends on B.Tech CSE, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
what is my fee structure for M.Tech now,fees_student,"Your fee structure depends on M.Tech, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
can you what is my fee structure for MBA,fees_student,"Your fee structure depends on MBA, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
what is my fee structure for B.Tech ECE asap,fees_student,"Your fee structure depends on B.Tech ECE, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
please what is my fee structure for B.Com,fees_student,"Your fee structure depends on B.Com, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
what is my fee structure for B.Tech ECE,fees_student,"Your fee structure depends on B.Tech ECE, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
what happens if i don't pay for me,fees_student,"Unpaid dues can lead to account hold, exam/hall-ticket restrictions, and late fines. Pay or request an approved extension if eligible."
what happens if i don't pay asap,fees_student,"Unpaid dues can lead to account hold, exam/hall-ticket restrictions, and late fines. Pay or request an approved extension if eligible."
can you what happens if i don't pay,fees_student,"Unpaid dues can lead to account hold, exam/hall-ticket restrictions, and late fines. Pay or request an approved extension if eligible."
please what happens if i don't pay,fees_student,"Unpaid dues can lead to account hold, exam/hall-ticket restrictions, and late fines. Pay or request an approved extension if eligible."
what happens if i don't pay now,fees_student,"Unpaid dues can lead to account hold, exam/hall-ticket restrictions, and late fines. Pay or request an approved extension if eligible."
i want to what happens if i don't pay,fees_student,"Unpaid dues can lead to account hold, exam/hall-ticket restrictions, and late fines. Pay or request an approved extension if eligible."
what happens if i don't pay,fees_student,"Unpaid dues can lead to account hold, exam/hall-ticket restrictions, and late fines. Pay or request an approved extension if eligible."
i paid but status is still pending,fees_student,"Sometimes gateway confirmation takes time. If it still shows pending after a few hours, share your transaction reference to raise a reconciliation ticket."
i paid but status is still pending now,fees_student,"Sometimes gateway confirmation takes time. If it still shows pending after a few hours, share your transaction reference to raise a reconciliation ticket."
can you i paid but status is still pending,fees_student,"Sometimes gateway confirmation takes time. If it still shows pending after a few hours, share your transaction reference to raise a reconciliation ticket."
i want to i paid but status is still pending,fees_student,"Sometimes gateway confirmation takes time. If it still shows pending after a few hours, share your transaction reference to raise a reconciliation ticket."
i paid but status is still pending asap,fees_student,"Sometimes gateway confirmation takes time. If it still shows pending after a few hours, share your transaction reference to raise a reconciliation ticket."
please i paid but status is still pending,fees_student,"Sometimes gateway confirmation takes time. If it still shows pending after a few hours, share your transaction reference to raise a reconciliation ticket."
i paid but status is still pending for me,fees_student,"Sometimes gateway confirmation takes time. If it still shows pending after a few hours, share your transaction reference to raise a reconciliation ticket."
can i get a refund,fees_student,Refunds are processed as per the refund policy and timeline. The refundable percentage depends on the withdrawal date and applicable deductions.
can i get a refund for me,fees_student,Refunds are processed as per the refund policy and timeline. The refundable percentage depends on the withdrawal date and applicable deductions.
please can i get a refund,fees_student,Refunds are processed as per the refund policy and timeline. The refundable percentage depends on the withdrawal date and applicable deductions.
can i get a refund asap,fees_student,Refunds are processed as per the refund policy and timeline. The refundable percentage depends on the withdrawal date and applicable deductions.
i want to can i get a refund,fees_student,Refunds are processed as per the refund policy and timeline. The refundable percentage depends on the withdrawal date and applicable deductions.
can i get a refund now,fees_student,Refunds are processed as per the refund policy and timeline. The refundable percentage depends on the withdrawal date and applicable deductions.
can you can i get a refund,fees_student,Refunds are processed as per the refund policy and timeline. The refundable percentage depends on the withdrawal date and applicable deductions.
need exam receipt for visa,fees_student,"You can download the exam receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
need lab receipt for visa for me,fees_student,"You can download the lab receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
need internet receipt for visa for me,fees_student,"You can download the internet receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
need sports receipt for visa for me,fees_student,"You can download the sports receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
can you need sports receipt for visa,fees_student,"You can download the sports receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
need library receipt for visa for me,fees_student,"You can download the library receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
need misc receipt for visa for me,fees_student,"You can download the misc receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
need transport receipt for visa for me,fees_student,"You can download the transport receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
i want to need exam receipt for visa,fees_student,"You can download the exam receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
can you need mess receipt for visa,fees_student,"You can download the mess receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
i want to need transport receipt for visa,fees_student,"You can download the transport receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
can you need medical receipt for visa,fees_student,"You can download the medical receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
please need hostel receipt for visa,fees_student,"You can download the hostel receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
please need medical receipt for visa,fees_student,"You can download the medical receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
need exam receipt for visa now,fees_student,"You can download the exam receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
need sports receipt for visa,fees_student,"You can download the sports receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
need transport receipt for visa now,fees_student,"You can download the transport receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
need hostel receipt for visa,fees_student,"You can download the hostel receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
why is my scholarship not applied asap,fees_student,Scholarship application may be pending approval or missing documents. Check status under Scholarships and verify eligibility criteria.
why is my scholarship not applied now,fees_student,Scholarship application may be pending approval or missing documents. Check status under Scholarships and verify eligibility criteria.
please why is my scholarship not applied,fees_student,Scholarship application may be pending approval or missing documents. Check status under Scholarships and verify eligibility criteria.
i want to why is my scholarship not applied,fees_student,Scholarship application may be pending approval or missing documents. Check status under Scholarships and verify eligibility criteria.
can you why is my scholarship not applied,fees_student,Scholarship application may be pending approval or missing documents. Check status under Scholarships and verify eligibility criteria.
why is my scholarship not applied for me,fees_student,Scholarship application may be pending approval or missing documents. Check status under Scholarships and verify eligibility criteria.
why is my scholarship not applied,fees_student,Scholarship application may be pending approval or missing documents. Check status under Scholarships and verify eligibility criteria.
show my last payment now,fees_student,"Your latest successful transaction appears at the top of Payment History with date, amount, and method."
show my last payment,fees_student,"Your latest successful transaction appears at the top of Payment History with date, amount, and method."
show my last payment for me,fees_student,"Your latest successful transaction appears at the top of Payment History with date, amount, and method."
can you show my last payment,fees_student,"Your latest successful transaction appears at the top of Payment History with date, amount, and method."
please show my last payment,fees_student,"Your latest successful transaction appears at the top of Payment History with date, amount, and method."
i want to show my last payment,fees_student,"Your latest successful transaction appears at the top of Payment History with date, amount, and method."
can you hall ticket download,exams_student,You can download your hall ticket once you’re eligible and the session is published. Go to Examination → Hall Ticket.
hall ticket download asap,exams_student,You can download your hall ticket once you’re eligible and the session is published. Go to Examination → Hall Ticket.
hall ticket download now,exams_student,You can download your hall ticket once you’re eligible and the session is published. Go to Examination → Hall Ticket.
i want to hall ticket download,exams_student,You can download your hall ticket once you’re eligible and the session is published. Go to Examination → Hall Ticket.
please hall ticket download,exams_student,You can download your hall ticket once you’re eligible and the session is published. Go to Examination → Hall Ticket.
hall ticket download,exams_student,You can download your hall ticket once you’re eligible and the session is published. Go to Examination → Hall Ticket.
hall ticket download for me,exams_student,You can download your hall ticket once you’re eligible and the session is published. Go to Examination → Hall Ticket.
please am i eligible for exams,exams_student,Exam eligibility depends on attendance and fee/no-due status. Check Examination → Eligibility for details.
am i eligible for exams for me,exams_student,Exam eligibility depends on attendance and fee/no-due status. Check Examination → Eligibility for details.
i want to am i eligible for exams,exams_student,Exam eligibility depends on attendance and fee/no-due status. Check Examination → Eligibility for details.
am i eligible for exams,exams_student,Exam eligibility depends on attendance and fee/no-due status. Check Examination → Eligibility for details.
can you am i eligible for exams,exams_student,Exam eligibility depends on attendance and fee/no-due status. Check Examination → Eligibility for details.
am i eligible for exams asap,exams_student,Exam eligibility depends on attendance and fee/no-due status. Check Examination → Eligibility for details.
exam timetable now,exams_student,"Your exam timetable is available under Examination → Timetable. It will show date, time, subject and hall/room when assigned."
can you exam timetable,exams_student,"Your exam timetable is available under Examination → Timetable. It will show date, time, subject and hall/room when assigned."
exam timetable asap,exams_student,"Your exam timetable is available under Examination → Timetable. It will show date, time, subject and hall/room when assigned."
exam timetable for me,exams_student,"Your exam timetable is available under Examination → Timetable. It will show date, time, subject and hall/room when assigned."
i want to exam timetable,exams_student,"Your exam timetable is available under Examination → Timetable. It will show date, time, subject and hall/room when assigned."
please exam timetable,exams_student,"Your exam timetable is available under Examination → Timetable. It will show date, time, subject and hall/room when assigned."
please revaluation process,exams_student,"For revaluation, submit your request in Examination → Revaluation within the announced window and pay the applicable fee."
can you revaluation process,exams_student,"For revaluation, submit your request in Examination → Revaluation within the announced window and pay the applicable fee."
revaluation process for me,exams_student,"For revaluation, submit your request in Examination → Revaluation within the announced window and pay the applicable fee."
i want to revaluation process,exams_student,"For revaluation, submit your request in Examination → Revaluation within the announced window and pay the applicable fee."
revaluation process,exams_student,"For revaluation, submit your request in Examination → Revaluation within the announced window and pay the applicable fee."
revaluation process now,exams_student,"For revaluation, submit your request in Examination → Revaluation within the announced window and pay the applicable fee."
revaluation process asap,exams_student,"For revaluation, submit your request in Examination → Revaluation within the announced window and pay the applicable fee."
i want to internal marks,exams_student,"Internal marks are available under Examination → Internal Marks. If you see discrepancies, contact your course faculty."
internal marks,exams_student,"Internal marks are available under Examination → Internal Marks. If you see discrepancies, contact your course faculty."
internal marks for me,exams_student,"Internal marks are available under Examination → Internal Marks. If you see discrepancies, contact your course faculty."
can you internal marks,exams_student,"Internal marks are available under Examination → Internal Marks. If you see discrepancies, contact your course faculty."
internal marks asap,exams_student,"Internal marks are available under Examination → Internal Marks. If you see discrepancies, contact your course faculty."
internal marks now,exams_student,"Internal marks are available under Examination → Internal Marks. If you see discrepancies, contact your course faculty."
please internal marks,exams_student,"Internal marks are available under Examination → Internal Marks. If you see discrepancies, contact your course faculty."
please i missed an exam,exams_student,"If you missed an exam due to valid reasons, apply for a re-exam/supplementary as per college policy."
i want to i missed an exam,exams_student,"If you missed an exam due to valid reasons, apply for a re-exam/supplementary as per college policy."
i missed an exam,exams_student,"If you missed an exam due to valid reasons, apply for a re-exam/supplementary as per college policy."
can you i missed an exam,exams_student,"If you missed an exam due to valid reasons, apply for a re-exam/supplementary as per college policy."
i missed an exam asap,exams_student,"If you missed an exam due to valid reasons, apply for a re-exam/supplementary as per college policy."
i missed an exam now,exams_student,"If you missed an exam due to valid reasons, apply for a re-exam/supplementary as per college policy."
i missed an exam for me,exams_student,"If you missed an exam due to valid reasons, apply for a re-exam/supplementary as per college policy."
placement eligibility for TCS now,placement_student,"Eligibility is based on company criteria like CGPA, arrears, and fee clearance. Check Placements → Drives → TCS."
please placement eligibility for Cognizant,placement_student,"Eligibility is based on company criteria like CGPA, arrears, and fee clearance. Check Placements → Drives → Cognizant."
